location,State,County,Location,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,new_county
"Arkansas, Perry",Arkansas,Perry,"Arkansas, Perry",10223,10306,10363,10346,10352,10356,10352,10496,10441,10443,"10,444","10,383","10,328","10,335","10,360","10,307","10,286",Perry
"Arkansas, Phillips",Arkansas,Phillips,"Arkansas, Phillips",26290,25821,25067,24520,24174,23946,23244,22775,22411,21976,"21,676","21,406","20,736","20,437","19,952","19,546","19,050",Phillips
"Arkansas, Pike",Arkansas,Pike,"Arkansas, Pike",11332,11306,11321,11243,11246,11216,11262,11342,11283,11260,"11,264","11,241","11,254","11,121","10,989","10,837","10,826",Pike
"Arkansas, Poinsett",Arkansas,Poinsett,"Arkansas, Poinsett",25617,25498,25213,25177,25039,25058,24904,24813,24599,24632,"24,515","24,449","24,299","24,187","24,152","24,002","23,974",Poinsett
"Arkansas, Polk",Arkansas,Polk,"Arkansas, Polk",20268,20189,20243,20199,20057,20203,20422,20377,20388,20583,"20,667","20,558","20,420","20,342","20,249","20,194","20,145",Polk
"Arkansas, Pope",Arkansas,Pope,"Arkansas, Pope",54541,54986,55405,55622,56606,57535,58809,59793,60528,61302,"62,109","62,687","62,631","62,588","63,117","63,608","63,897",Pope
"Arkansas, Prairie",Arkansas,Prairie,"Arkansas, Prairie",9491,9505,9406,9303,9111,9046,8989,8951,8806,8754,"8,722","8,599","8,482","8,375","8,347","8,299","8,252",Prairie
"Arkansas, Pulaski",Arkansas,Pulaski,"Arkansas, Pulaski",361876,362866,364327,365258,366608,368274,371647,373403,376567,380053,"383,538","386,990","389,225","391,512","392,952","393,576","394,151",Pulaski
"Arkansas, Randolph",Arkansas,Randolph,"Arkansas, Randolph",18155,18177,18115,18005,18207,18086,18185,18054,18072,17964,"17,955","17,973","17,840","17,625","17,569","17,437","17,444",Randolph
"Arkansas, Saline",Arkansas,Saline,"Arkansas, Saline",84084,85473,87031,88627,90961,93493,96661,100043,102599,105362,"107,656","109,553","111,442","113,348","114,874","116,390","117,656",Saline
"Arkansas, Scott",Arkansas,Scott,"Arkansas, Scott",10980,10950,10930,10936,10872,10976,11239,11287,11227,11097,"11,275","11,264","11,033","10,934","10,686","10,561","10,332",Scott
"Arkansas, Searcy",Arkansas,Searcy,"Arkansas, Searcy",8246,8220,8150,7996,8046,8110,8210,8275,8274,8190,"8,182","8,078","8,005","7,991","7,924","7,835","7,968",Searcy
"Arkansas, Sebastian",Arkansas,Sebastian,"Arkansas, Sebastian",115578,116488,117200,117725,118168,119426,121492,122946,123762,125116,"125,737","127,010","127,571","127,173","126,733","127,385","127,385",Sebastian
"Arkansas, Sevier",Arkansas,Sevier,"Arkansas, Sevier",15747,15586,15702,15824,16041,16298,16273,16347,16606,16812,"17,151","17,218","17,188","17,356","17,410","17,262","16,971",Sevier
"Arkansas, Sharp",Arkansas,Sharp,"Arkansas, Sharp",17138,17244,17276,17381,17353,17391,17629,17506,17416,17373,"17,250","17,270","17,034","17,043","16,820","16,808","17,007",Sharp
"Arkansas, St. Francis",Arkansas,St. Francis,"Arkansas, St. Francis",29325,29072,29023,29170,28905,28639,28496,28394,28110,28336,,,,,,,,St. Francis
"Arkansas, Stone",Arkansas,Stone,"Arkansas, Stone",11519,11484,11607,11704,11768,11909,12262,12230,12370,12340,"12,389","12,500","12,542","12,423","12,381","12,386","12,509",Stone
"Arkansas, Union",Arkansas,Union,"Arkansas, Union",45532,44894,44769,44281,43747,43134,42914,42267,42222,41944,"41,573","41,402","40,861","40,604","40,136","40,086","39,879",Union
"Arkansas, Van Buren",Arkansas,Van Buren,"Arkansas, Van Buren",16221,16332,16322,16506,16664,16869,17027,17226,17373,17293,"17,310","17,214","17,162","16,985","16,907","16,808","16,669",Van Buren
"Arkansas, Washington",Arkansas,Washington,"Arkansas, Washington",158851,163151,166859,171424,176837,183799,190314,194526,197223,199774,"204,024","208,051","211,756","216,000","219,941","224,434","228,482",Washington
"Arkansas, White",Arkansas,White,"Arkansas, White",67382,68273,68796,69389,70403,71355,72728,73573,74848,76284,"77,356","78,083","78,641","78,567","78,471","78,915","78,917",White
"Arkansas, Woodruff",Arkansas,Woodruff,"Arkansas, Woodruff",8686,8675,8446,8284,8102,8023,7877,7648,7458,7294,"7,236","7,164","7,052","7,018","6,860","6,706","6,600",Woodruff
"Arkansas, Yell",Arkansas,Yell,"Arkansas, Yell",21147,21145,21147,21197,21074,21141,21556,21633,21935,22145,"22,146","21,964","21,824","21,819","21,768","21,506","21,502",Yell
"California, Alameda",California,Alameda,"California, Alameda",1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,"1,512,986","1,530,915","1,553,764","1,579,593","1,607,792","1,634,538","1,650,950",Alameda
"California, Alpine",California,Alpine,"California, Alpine",1209,1196,1237,1233,1263,1219,1276,1274,1202,1197,"1,161","1,093","1,110","1,128","1,080","1,077","1,047",Alpine
"California, Amador",California,Amador,"California, Amador",35153,35697,36561,36994,37400,38040,38353,38756,38248,38238,"37,886","37,543","37,104","36,620","36,726","37,031","37,429",Amador
"California, Butte",California,Butte,"California, Butte",203807,206193,209120,211481,213065,214752,216824,217469,219034,219777,"219,949","219,975","220,869","221,641","223,516","224,631","226,231",Butte
"California, Calaveras",California,Calaveras,"California, Calaveras",40645,41304,42380,43755,44530,45295,46045,46268,46265,45900,"45,468","45,160","44,815","44,655","44,671","44,965","45,322",Calaveras
"California, Colusa",California,Colusa,"California, Colusa",18817,19022,19232,19568,20207,20540,20890,21075,21134,21250,"21,437","21,323","21,284","21,250","21,176","21,231","21,496",Colusa
"California, Contra Costa",California,Contra Costa,"California, Contra Costa",952810,970952,979862,987531,992424,999013,1000834,1009152,1023344,1037890,"1,052,540","1,065,440","1,077,548","1,093,401","1,108,876","1,124,405","1,137,268",Contra Costa
"California, Del Norte",California,Del Norte,"California, Del Norte",27440,27292,27397,27601,27950,28281,28211,28415,28496,28599,"28,566","28,443","28,190","27,816","27,175","27,190","27,382",Del Norte
"California, El Dorado",California,El Dorado,"California, El Dorado",157162,161101,165195,168331,171653,175003,176773,177694,179150,180455,"181,136","180,936","180,575","181,481","183,108","184,569","185,976",El Dorado
"California, Fresno",California,Fresno,"California, Fresno",801288,813021,829762,847193,861035,872470,883862,895933,909630,921478,"932,039","939,406","945,045","951,514","960,567","969,488","976,830",Fresno
"California, Glenn",California,Glenn,"California, Glenn",26416,26450,26651,27016,27122,27393,27652,27775,28019,28100,"28,127","28,139","27,851","27,809","27,831","27,753","27,840",Glenn
"California, Humboldt",California,Humboldt,"California, Humboldt",126462,127520,128780,129754,130702,131497,132093,132001,132657,133744,"135,009","135,243","134,572","134,403","134,494","135,102","136,290",Humboldt
"California, Imperial",California,Imperial,"California, Imperial",142410,143707,145640,148984,152259,156113,160505,164596,167917,172008,"174,716","175,786","176,575","176,438","177,974","178,937","180,179",Imperial
"California, Inyo",California,Inyo,"California, Inyo",17955,18117,18394,18593,18578,18478,18370,18426,18318,18544,"18,511","18,392","18,351","18,357","18,292","18,108","17,922",Inyo
"California, Kern",California,Kern,"California, Kern",663803,676574,694059,714272,736296,760726,784511,803281,818327,830137,"840,996","847,970","853,606","862,000","869,176","876,031","880,856",Kern
"California, Kings",California,Kings,"California, Kings",129835,132881,135369,139393,143601,145147,147712,150420,152027,152278,"152,370","151,868","150,991","150,337","149,495","150,085","149,382",Kings
"California, Lake",California,Lake,"California, Lake",58538,60219,61513,62496,63116,63811,64202,64077,64392,64413,"64,735","64,251","63,954","63,796","64,044","64,260","63,903",Lake
"California, Lassen",California,Lassen,"California, Lassen",33719,33548,33430,33930,34458,34488,34605,35615,35221,35160,"34,831","34,246","33,629","32,129","31,664","31,256","30,721",Lassen
"California, Los Angeles",California,Los Angeles,"California, Los Angeles",9538191,9626034,9705913,9767145,9793263,9786373,9737955,9700359,9735147,9787400,"9,823,246","9,876,482","9,935,375","9,992,484","10,040,072","10,085,416","10,105,708",Los Angeles
"California, Madera",California,Madera,"California, Madera",123587,125581,128369,132738,137106,140313,143622,146067,148359,149234,"150,986","151,675","151,527","151,370","153,456","153,576","153,956",Madera
"California, Marin",California,Marin,"California, Marin",247520,247866,246225,245054,243769,244206,244580,246248,248398,250862,"252,904","255,376","256,061","258,409","260,359","260,916","260,562",Marin
"California, Mariposa",California,Mariposa,"California, Mariposa",17101,17099,17243,17707,17844,17972,18219,18366,18412,18212,"18,277","18,170","17,881","17,809","17,714","17,622","17,456",Mariposa
"California, Mendocino",California,Mendocino,"California, Mendocino",86407,86841,87364,88140,88030,87981,87345,87071,87468,87722,"87,799","87,334","87,288","87,054","87,225","87,107","87,285",Mendocino
"California, Merced",California,Merced,"California, Merced",212258,218816,225351,231735,237180,242554,245338,248540,250538,252302,"256,721","259,297","260,867","262,026","264,419","266,353","267,628",Merced
"California, Modoc",California,Modoc,"California, Modoc",9406,9350,9362,9501,9605,9565,9617,9525,9551,9646,"9,694","9,509","9,351","9,145","9,068","9,056","8,961",Modoc
"California, Mono",California,Mono,"California, Mono",12921,13224,13404,13352,13360,13474,13743,13678,13862,14008,"14,257","14,422","14,331","14,067","14,134","14,077","14,273",Mono
"California, Monterey",California,Monterey,"California, Monterey",402990,407082,408977,409725,408731,405139,401831,402376,406022,410263,"416,373","420,456","424,788","426,712","428,475","430,552","433,953",Monterey
"California, Napa",California,Napa,"California, Napa",124565,126818,128744,130138,130387,130381,131440,132583,134093,135280,"136,759","137,691","138,538","139,580","140,405","140,862","140,840",Napa
"California, Nevada",California,Nevada,"California, Nevada",92520,93715,94647,95606,96512,97250,97549,97794,98200,98591,"98,790","98,701","98,137","97,938","98,572","98,676","98,913",Nevada
"California, Orange",California,Orange,"California, Orange",2854513,2885457,2908245,2929376,2941711,2940055,2932261,2931629,2957593,2987177,"3,015,171","3,049,271","3,078,068","3,104,950","3,126,537","3,149,280","3,164,986",Orange
"California, Placer",California,Placer,"California, Placer",251012,263615,276907,290726,302841,312762,321934,329023,337568,343810,"350,021","356,328","360,263","365,398","369,217","372,841","378,943",Placer
"California, Plumas",California,Plumas,"California, Plumas",20754,20820,20866,20957,21000,21010,20762,20667,20410,20169,"19,914","19,719","19,377","18,895","18,622","18,427","18,665",Plumas
"California, Riverside",California,Riverside,"California, Riverside",1558985,1616634,1687147,1771656,1856542,1931785,2012370,2075183,2109712,2146725,"2,201,576","2,234,070","2,261,204","2,286,755","2,316,162","2,345,816","2,380,081",Riverside
"California, Sacramento",California,Sacramento,"California, Sacramento",1229940,1266257,1301079,1328531,1348932,1360816,1369563,1381161,1394438,1408601,"1,421,383","1,433,730","1,444,852","1,457,341","1,474,917","1,493,674","1,510,987",Sacramento
"California, San Benito",California,San Benito,"California, San Benito",53781,54644,55056,55198,54849,54647,54124,54072,54267,54436,"55,516","55,977","56,599","57,239","57,825","58,216","59,225",San Benito
"California, San Bernardino",California,San Bernardino,"California, San Bernardino",1718037,1760731,1799791,1846115,1899065,1943924,1974140,1992161,2003735,2013960,"2,040,848","2,060,827","2,073,512","2,082,738","2,099,181","2,115,411","2,131,960",San Bernardino
"California, San Diego",California,San Diego,"California, San Diego",2827366,2869672,2900355,2914702,2930007,2938375,2947289,2975742,3022116,3061203,"3,103,212","3,137,156","3,174,335","3,209,768","3,248,877","3,280,850","3,306,089",San Diego
"California, San Francisco",California,San Francisco,"California, San Francisco",777885,780865,772723,766160,761325,763016,768650,778673,791152,801922,"805,505","815,650","828,876","839,572","850,750","863,010","871,512",San Francisco
"California, San Joaquin",California,San Joaquin,"California, San Joaquin",567885,591207,609041,626778,642898,656985,662812,668080,671692,677736,"687,127","694,354","699,593","702,046","711,579","722,271","732,809",San Joaquin
"California, San Luis Obispo",California,San Luis Obispo,"California, San Luis Obispo",247839,251462,253083,254674,256842,258615,260498,262770,266358,268145,"269,802","271,058","274,160","275,696","278,227","280,077","281,803",San Luis Obispo
"California, San Mateo",California,San Mateo,"California, San Mateo",707820,705621,697628,693057,690161,690078,690176,693849,703830,713617,"719,699","728,344","739,224","748,661","757,204","765,055","767,906",San Mateo
"California, Santa Barbara",California,Santa Barbara,"California, Santa Barbara",399990,403164,405178,406810,407284,408079,408085,411243,415859,420356,"424,231","425,453","429,699","434,601","439,045","442,229","444,340",Santa Barbara
"California, Santa Clara",California,Santa Clara,"California, Santa Clara",1684947,1688082,1669348,1663592,1663167,1675312,1691159,1712026,1740964,1765137,"1,786,040","1,812,054","1,837,853","1,866,425","1,891,753","1,916,285","1,928,368",Santa Clara
"California, Santa Cruz",California,Santa Cruz,"California, Santa Cruz",255835,256045,254531,253021,252356,251377,251616,253304,256520,260009,"263,147","264,858","266,340","268,816","270,861","273,503","274,396",Santa Cruz
"California, Shasta",California,Shasta,"California, Shasta",163615,166408,170198,173202,174867,175615,176166,176548,177247,177279,"177,274","177,588","177,875","178,397","178,844","178,314","178,571",Shasta
"California, Sierra",California,Sierra,"California, Sierra",3574,3518,3482,3511,3430,3378,3424,3373,3320,3248,"3,220","3,098","3,067","3,028","2,972","2,985","2,951",Sierra
"California, Siskiyou",California,Siskiyou,"California, Siskiyou",44218,43908,43965,44287,44394,44641,44487,44465,44780,44788,"44,938","44,615","44,079","43,532","43,338","43,254","43,376",Siskiyou
"California, Solano",California,Solano,"California, Solano",396974,404209,408226,408409,409301,408181,408402,408243,408972,410290,"413,967","416,342","419,674","423,659","429,006","433,409","438,858",Solano
"California, Sonoma",California,Sonoma,"California, Sonoma",460421,465293,465298,466489,466809,465938,465188,467356,473091,479479,"484,755","487,421","489,993","494,073","498,560","500,863","502,547",Sonoma
"California, Stanislaus",California,Stanislaus,"California, Stanislaus",449471,463761,477469,487357,492613,500020,504651,507834,509032,511536,"515,145","517,560","520,424","523,451","528,015","533,211","539,255",Stanislaus
"California, Sutter",California,Sutter,"California, Sutter",79192,80138,82162,84671,86484,88764,91112,92959,93855,94366,"94,751","94,482","94,189","94,507","94,778","95,282","95,742",Sutter
"California, Tehama",California,Tehama,"California, Tehama",56170,56685,57380,58528,59571,60602,61587,62147,62648,62891,"63,559","63,331","63,212","62,875","62,801","63,158","63,453",Tehama
"California, Trinity",California,Trinity,"California, Trinity",12980,12859,13064,13210,13159,13440,13634,13648,13656,13762,"13,755","13,685","13,489","13,427","13,128","13,094","12,828",Trinity
"California, Tulare",California,Tulare,"California, Tulare",368627,373171,379568,388743,398226,407970,414921,422140,429283,436987,"442,969","446,784","449,779","452,460","455,138","457,161","459,235",Tulare
"California, Tuolumne",California,Tuolumne,"California, Tuolumne",54658,55253,55850,56513,56602,56788,56680,56339,56320,55845,"55,190","54,830","54,221","53,997","53,851","53,615","53,770",Tuolumne
"California, Ventura",California,Ventura,"California, Ventura",756506,766689,779489,788070,793994,794197,798183,800027,806353,815130,"825,097","830,099","833,516","838,136","842,297","845,802","847,323",Ventura
"California, Yolo",California,Yolo,"California, Yolo",169835,175337,180327,182954,185237,186269,189615,194339,197154,199791,"201,073","201,954","204,576","206,292","208,398","212,037","215,627",Yolo
"California, Yuba",California,Yuba,"California, Yuba",60372,61249,62100,62733,63742,66285,69272,70761,71773,71607,"72,348","72,489","72,774","73,090","73,533","74,045","74,952",Yuba
"Colorado, Adams",Colorado,Adams,"Colorado, Adams",350888,359816,370753,377464,384809,395146,406575,415746,424913,435700,"443,691","452,201","460,558","469,978","479,946","490,443","497,734",Adams
"Colorado, Alamosa",Colorado,Alamosa,"Colorado, Alamosa",14954,14956,15114,15067,15217,15236,15196,15180,15300,15289,"15,515","15,709","15,680","15,787","15,803","15,894","16,053",Alamosa
"Colorado, Arapahoe",Colorado,Arapahoe,"Colorado, Arapahoe",491482,502393,508936,513690,518971,524466,531619,542039,552461,563161,"574,747","585,968","596,500","608,467","619,034","630,984","638,950",Arapahoe
"Colorado, Archuleta",Colorado,Archuleta,"Colorado, Archuleta",10020,10454,10885,11089,11266,11496,11937,12262,12250,12169,"12,046","12,021","12,132","12,216","12,231","12,387","12,825",Archuleta
"Colorado, Baca",Colorado,Baca,"Colorado, Baca",4501,4471,4336,4117,4064,3997,3933,3866,3806,3767,"3,807","3,778","3,722","3,656","3,587","3,555","3,530",Baca
"Colorado, Bent",Colorado,Bent,"Colorado, Bent",5954,5841,5973,6166,6180,6118,6012,5715,5962,6425,"6,500","6,424","5,848","5,761","5,820","5,889","5,833",Bent
"Colorado, Boulder",Colorado,Boulder,"Colorado, Boulder",271574,277597,279468,278768,279728,280241,284243,287428,290859,293190,"295,037","299,957","304,570","309,323","312,233","318,027","321,250",Boulder
"Colorado, Broomfield",Colorado,Broomfield,"Colorado, Broomfield",39679,41055,41800,43805,44867,46313,48729,51526,53181,54789,"56,226","57,493","58,971","60,149","61,764","64,866","66,513",Broomfield
"Colorado, Chaffee",Colorado,Chaffee,"Colorado, Chaffee",16337,16488,16844,16921,17047,17105,17087,17377,17573,17852,"17,808","18,028","18,154","18,355","18,451","18,612","19,110",Chaffee
"Colorado, Cheyenne",Colorado,Cheyenne,"Colorado, Cheyenne",2209,2179,2119,2021,1981,1939,1912,1863,1881,1843,"1,833","1,863","1,872","1,879","1,846","1,827","1,850",Cheyenne
"Colorado, Clear Creek",Colorado,Clear Creek,"Colorado, Clear Creek",9255,9383,9514,9402,9148,9150,9042,9152,9138,8994,"9,083","9,011","9,018","9,024","9,124","9,244","9,353",Clear Creek
"Colorado, Conejos",Colorado,Conejos,"Colorado, Conejos",8401,8350,8358,8310,8353,8337,8256,8217,8200,8140,"8,312","8,290","8,248","8,199","8,230","8,065","8,050",Conejos
"Colorado, Costilla",Colorado,Costilla,"Colorado, Costilla",3675,3619,3639,3645,3656,3562,3571,3567,3532,3481,"3,529","3,641","3,603","3,541","3,561","3,576","3,693",Costilla
"Colorado, Crowley",Colorado,Crowley,"Colorado, Crowley",5509,5614,5666,5464,5720,5677,5886,6015,5947,5797,"5,861","5,882","5,467","5,346","5,609","5,628","5,285",Crowley
"Colorado, Custer",Colorado,Custer,"Colorado, Custer",3523,3664,3714,3865,3911,3989,3994,4112,4107,4190,"4,279","4,225","4,219","4,261","4,340","4,434","4,588",Custer
"Colorado, Delta",Colorado,Delta,"Colorado, Delta",27877,28069,28677,28929,29305,29389,29789,30121,30712,31156,"30,860","30,393","30,465","30,338","29,963","29,913","30,346",Delta
"Colorado, Denver",Colorado,Denver,"Colorado, Denver",555651,561976,556790,552588,550756,551691,556895,564395,575721,589011,"603,359","620,530","635,163","649,391","664,582","683,285","696,159",Denver
"Colorado, Dolores",Colorado,Dolores,"Colorado, Dolores",1847,1849,1870,1842,1850,1869,1973,1980,2061,2057,"2,069","2,044","2,009","2,033","1,977","1,981","2,056",Dolores
"Colorado, Douglas",Colorado,Douglas,"Colorado, Douglas",180121,196783,208911,220352,232508,243112,256136,267177,275500,281386,"286,977","292,548","298,708","306,234","314,545","322,025","328,219",Douglas
